NULL - title|NULL - image|$ 12.00|https://www.zeromarketplace.com/products/aniseedoil|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 9.00|https://www.zeromarketplace.com/products/anti-agingserum-1ozamberglassdropper|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 6.00|https://www.zeromarketplace.com/products/hairfrizzoil|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 8.00|https://www.zeromarketplace.com/products/anti-stretchmarkoilwithglassdropper1oz|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 14.00|https://www.zeromarketplace.com/products/balance-dragontimeroller|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 7.50|https://www.zeromarketplace.com/products/bambooforkknifespoonset|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 10.00|https://www.zeromarketplace.com/products/bambooteastraw|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 3.00|https://www.zeromarketplace.com/products/bambucondimentcup|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 5.00|https://www.zeromarketplace.com/products/bambukidsdoubleendedutensil|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 4.00|https://www.zeromarketplace.com/products/bambupotscraper|Zero Waste Memoirs|null  keywords|
NULL - title|NULL - image|$ 4.00|https://www.zeromarketplace.com/products/bambuspork|Zero Waste Memoirs|null  keywords|
